gene name	clone count	clone frequency	gene count	gene frequency
TRBV7-2	1211	0.148098324568913	318	0.048705774238015
TRBV5-1	1054	0.128898128898129	985	0.150865369888191
TRBV20-1	909	0.111165464106641	863	0.132179506815745
TRBV2	443	0.0541763482939954	60	0.00918976872415378
TRBV10-3	405	0.049529167176226	393	0.0601929851432072
TRBV29-1	351	0.0429252782193959	313	0.0479399601776689
TRBV12-3	335	0.0409685703803351	326	0.0499310767345688
TRBV7-6	284	0.0347315641433288	272	0.0416602848828304
TRBV6-5	220	0.0269047327870857	198	0.0303262367897075
TRBV15	190	0.0232359055888468	184	0.0281819574207382
TRBV11-3	174	0.021279197749786	160	0.0245060499310767
TRBV7-9	171	0.0209123150299621	163	0.0249655383672844
TRBV12-2	166	0.0203008438302556	162	0.0248123755552152
TRBV28	162	0.0198116668704904	158	0.0241997243069383
TRBV12-4	161	0.0196893726305491	155	0.0237402358707306
TRBV18	152	0.0185887244710774	122	0.018685863072446
TRBV11-2	131	0.0160205454323101	126	0.0192985143207229
TRBV4-1	119	0.0145530145530146	115	0.0176137233879614
TRBV7-3	117	0.014308426073132	112	0.0171542349517537
TRBV6-6	114	0.0139415433533081	83	0.0127125134017461
TRBV10-1	114	0.0139415433533081	111	0.0170010721396845
TRBV6-1	113	0.0138192491133668	104	0.0159289324551999
TRBV24-1	97	0.011862541274306	90	0.0137846530862307
TRBV5-6	91	0.0111287758346582	89	0.0136314902741614
TRBV30	89	0.0108841873547756	85	0.0130188390258845
TRBV7-7	74	0.00904977375565611	73	0.0111808852810538
TRBV27	68	0.00831600831600832	66	0.0101087455965692
TRBV6-2	66	0.00807141983612572	64	0.00980241997243069
TRBV10-2	61	0.00745994863641922	58	0.00888344310001532
TRBV7-8	55	0.00672618319677143	54	0.0082707918517384
TRBV6-4	51	0.00623700623700624	48	0.00735181497932302
TRBV9	50	0.00611471199706494	49	0.00750497779139225
TRBV4-2	50	0.00611471199706494	49	0.00750497779139225
TRBV4-3	48	0.00587012351718234	45	0.00689232654311533
TRBV5-5	40	0.00489176959765195	39	0.00597334967069995
TRBV19	39	0.00476947535771065	38	0.00582018685863072
TRBV5-3	38	0.00464718111776935	38	0.00582018685863072
TRBV12-5	25	0.00305735599853247	24	0.00367590748966151
TRBV21-1	23	0.00281276751864987	23	0.00352274467759228
TRBV3-1	18	0.00220129631894338	18	0.00275693061724613
TRBV25-1	17	0.00207900207900208	17	0.0026037678051769
TRBV11-1	15	0.00183441359911948	15	0.00229744218103844
TRBV23-1	11	0.00134523663935429	11	0.00168479093276153
TRBV5-4	10	0.00122294239941299	10	0.0015316281206923
TRBV5-8	9	0.00110064815947169	8	0.00122530249655384
TRBV14	7	0.000856059679589091	7	0.00107213968448461
TRBV1	6	0.000733765439647793	5	0.000765814060346148
TRBV13	5	0.000611471199706494	5	0.000765814060346148
TRBV7-5	3	0.000366882719823896	3	0.000459488436207689
TRBV6-9	2	0.000244588479882598	2	0.000306325624138459
TRBV6-3	2	0.000244588479882598	2	0.000306325624138459
TRBV16	2	0.000244588479882598	2	0.000306325624138459
TRBV6-7	2	0.000244588479882598	2	0.000306325624138459
TRBV8-2	1	0.000122294239941299	1	0.00015316281206923
TRBV5-7	1	0.000122294239941299	1	0.00015316281206923
TRBV6-8	1	0.000122294239941299	1	0.00015316281206923
TRAV13-2	1	0.000122294239941299	1	0.00015316281206923
TRBV22-1	1	0.000122294239941299	1	0.00015316281206923
TRBV3-2	1	0.000122294239941299	1	0.00015316281206923
TRBV7-4	1	0.000122294239941299	1	0.00015316281206923
#Min clone frequency: 0.000122294239941299	Max clone frequency: 0.148098324568913	 clone frequency SD: 0.0291844027650617
#Min gene frequency: 0.00015316281206923	Max gene frequency: 0.150865369888191	 gene frequency SD: 0.0273997212865033
