gene name	clone count	clone frequency	gene count	gene frequency
TRBV20-1	2833	0.219595380203085	2477	0.217433286516854
TRBV7-2	1250	0.0968917138206341	1041	0.0913799157303371
TRBV29-1	993	0.0769707774591117	878	0.0770716292134832
TRBV5-1	950	0.0736377025036819	842	0.0739115168539326
TRBV6-5	895	0.069374467095574	812	0.0712780898876405
TRBV12-3	820	0.0635609642663359	737	0.0646945224719101
TRBV7-9	761	0.058987675374002	665	0.058374297752809
TRBV12-4	631	0.0489109371366561	568	0.0498595505617977
TRBV10-3	455	0.0352685838307108	405	0.0355512640449438
TRBV7-3	382	0.0296101077435858	350	0.0307233146067416
TRBV4-1	317	0.0245717386249128	277	0.024315308988764
TRBV4-2	252	0.0195333695062398	217	0.0190484550561798
TRBV9	252	0.0195333695062398	231	0.0202773876404494
TRBV24-1	247	0.0191458026509573	215	0.018872893258427
TRBV27	198	0.0153476474691884	177	0.0155372191011236
TRBV6-6	193	0.0149600806139059	174	0.0152738764044944
TRBV7-8	125	0.00968917138206341	106	0.00930477528089888
TRBV7-6	121	0.00937911789783738	102	0.00895365168539326
TRBV15	116	0.00899155104255484	103	0.00904143258426966
TRBV6-2	115	0.00891403767149833	108	0.00948033707865169
TRBV5-6	98	0.00759631036353771	87	0.00763693820224719
TRBV6-1	89	0.00689869002402914	85	0.00746137640449438
TRBV10-1	74	0.00573598945818154	70	0.00614466292134831
TRBV5-5	69	0.005348422602899	64	0.00561797752808989
TRBV28	67	0.00519339586078599	63	0.00553019662921348
TRBV3-1	65	0.00503836911867297	58	0.00509129213483146
TRBV10-2	62	0.00480582900550345	60	0.00526685393258427
TRBV18	57	0.00441826215022091	51	0.00447682584269663
TRBV11-2	56	0.00434074877916441	48	0.00421348314606742
TRBV6-4	40	0.00310053484226029	35	0.00307233146067416
TRBV7-7	40	0.00310053484226029	36	0.00316011235955056
TRBV4-3	31	0.00240291450275172	29	0.00254564606741573
TRBV6-3	31	0.00240291450275172	28	0.00245786516853933
TRBV25-1	29	0.00224788776063871	23	0.0020189606741573
TRBV2	28	0.0021703743895822	25	0.00219452247191011
TRBV21-1	26	0.00201534764746919	23	0.0020189606741573
TRBV13	18	0.00139524067901713	14	0.00122893258426966
TRBV30	17	0.00131772730796062	17	0.00149227528089888
TRBV5-8	16	0.00124021393690412	14	0.00122893258426966
TRBV5-4	14	0.0010851871947911	13	0.00114115168539326
TRBV11-1	14	0.0010851871947911	13	0.00114115168539326
TRBV12-5	9	0.000697620339508565	9	0.00079002808988764
TRBV12-2	9	0.000697620339508565	9	0.00079002808988764
TRBV14	8	0.000620106968452058	7	0.000614466292134831
TRBV16	7	0.000542593597395551	5	0.000438904494382022
TRBV11-3	6	0.000465080226339043	6	0.000526685393258427
TRBV19	4	0.000310053484226029	4	0.000351123595505618
TRBV7-4	3	0.000232540113169522	3	0.000263342696629213
TRBV6-7	2	0.000155026742113014	2	0.000175561797752809
TRBV12-1	1	7.75133710565072e-05	1	8.77808988764045e-05
TRBV5-7	1	7.75133710565072e-05	1	8.77808988764045e-05
TRBV6-9	1	7.75133710565072e-05	1	8.77808988764045e-05
TRBV17	1	7.75133710565072e-05	1	8.77808988764045e-05
TRBV23-1	1	7.75133710565072e-05	1	8.77808988764045e-05
TRBV6-8	1	7.75133710565072e-05	1	8.77808988764045e-05
#Min clone frequency: 7.75133710565072e-05	Max clone frequency: 0.219595380203085	 clone frequency SD: 0.0361300172910989
#Min gene frequency: 8.77808988764045e-05	Max gene frequency: 0.217433286516854	 gene frequency SD: 0.035774742316886
