gene name	clone count	clone frequency	gene count	gene frequency
TRBV5-1	1033	0.137239271954298	971	0.14763570016725
TRBV20-1	801	0.106416899163013	708	0.107647863767675
TRBV12-3	672	0.0892785970506178	463	0.0703968374638893
TRBV2	371	0.0492892254550286	62	0.00942679032993766
TRBV7-2	370	0.0491563703998937	335	0.0509350767827277
TRBV29-1	359	0.0476949647934104	342	0.0519993918199787
TRBV10-3	355	0.047163544572871	340	0.0516953018093356
TRBV7-6	245	0.0325494885080377	236	0.0358826212558917
TRBV28	241	0.0320180682874983	207	0.0314733161015661
TRBV6-5	187	0.0248438953102166	178	0.0270640109472404
TRBV11-2	183	0.0243124750896772	161	0.0244792458567736
TRBV12-2	183	0.0243124750896772	173	0.0263037859206325
TRBV11-3	176	0.0233824897037332	172	0.0261517409153109
TRBV7-9	172	0.0228510694831938	164	0.0249353808727383
TRBV18	171	0.022718214428059	160	0.024327200851452
TRBV4-1	169	0.0224525043177893	156	0.0237190208301657
TRBV7-3	141	0.0187325627740136	134	0.0203740307130911
TRBV12-4	130	0.0172711571675302	126	0.0191576706705185
TRBV15	118	0.0156768965059121	109	0.0165729055800517
TRBV6-1	115	0.0152783313405075	105	0.0159647255587654
TRBV10-1	112	0.014879766175103	107	0.0162688155694085
TRBV30	91	0.0120898100172712	85	0.0129238254523339
TRBV6-2	79	0.010495549355653	76	0.0115554204044397
TRBV7-7	77	0.0102298392453833	73	0.011099285388475
TRBV7-8	75	0.00996412913511359	69	0.0104911053671887
TRBV24-1	74	0.00983127407997874	71	0.0107951953778318
TRBV27	72	0.00956556396970905	71	0.0107951953778318
TRBV10-2	71	0.0094327089145742	65	0.00988292534590239
TRBV5-3	69	0.0091669988043045	67	0.0101870153565455
TRBV4-3	66	0.00876843363889996	60	0.00912270031929451
TRBV5-5	64	0.00850272352863026	61	0.00927474532461609
TRBV6-4	59	0.00783844825295603	56	0.00851452029800821
TRBV9	57	0.00757273814268633	56	0.00851452029800821
TRBV5-6	53	0.00704131792214694	50	0.00760225026607876
TRBV4-2	51	0.00677560781187724	51	0.00775429527140033
TRBV6-6	50	0.00664275275674239	50	0.00760225026607876
TRBV19	32	0.00425136176431513	31	0.00471339516496883
TRBV3-1	32	0.00425136176431513	31	0.00471339516496883
TRBV21-1	23	0.0030556662681015	23	0.00349703512239623
TRBV5-4	22	0.00292281121296665	20	0.0030409001064315
TRBV7-5	12	0.00159426066161817	11	0.00167249505853733
TRBV14	12	0.00159426066161817	12	0.0018245400638589
TRBV12-5	12	0.00159426066161817	12	0.0018245400638589
TRBV25-1	12	0.00159426066161817	12	0.0018245400638589
TRBV11-1	11	0.00146140560648333	10	0.00152045005321575
TRBV23-1	10	0.00132855055134848	9	0.00136840504789418
TRBV13	9	0.00119569549621363	9	0.00136840504789418
TRBV6-7	6	0.000797130330809087	5	0.000760225026607876
TRBV7-4	6	0.000797130330809087	6	0.000912270031929451
TRBV5-8	4	0.000531420220539392	4	0.000608180021286301
TRBV5-7	3	0.000398565165404544	3	0.000456135015964726
TRBV6-3	2	0.000265710110269696	2	0.00030409001064315
TRBV1	2	0.000265710110269696	2	0.00030409001064315
TRBV6-9	2	0.000265710110269696	2	0.00030409001064315
TRBV6-8	1	0.000132855055134848	1	0.000152045005321575
TRBV8-2	1	0.000132855055134848	1	0.000152045005321575
TRBV22-1	1	0.000132855055134848	1	0.000152045005321575
#Min clone frequency: 0.000132855055134848	Max clone frequency: 0.137239271954298	 clone frequency SD: 0.0262387583245419
#Min gene frequency: 0.000152045005321575	Max gene frequency: 0.14763570016725	 gene frequency SD: 0.0263015847916728
