gene name	clone count	clone frequency	gene count	gene frequency
TRBV7-2	1291.33333333344	0.145724012112258	2316	0.059428806035257
TRBV5-1	1246.49999999998	0.140664673023679	5446	0.139744938544046
TRBV20-1	1098.83333333327	0.124000827549816	5139	0.131867285930564
TRBV12-3	575.000000000008	0.0648874344072347	2937	0.0753637320058505
TRBV7-9	364.333333333339	0.0411141830765842	1901	0.0487798619486285
TRBV29-1	316.500000000002	0.0357163008519819	1662	0.0426470965589798
TRBV10-3	280.166666666664	0.0316161673155243	1486	0.038130917862
TRBV24-1	257.166666666661	0.0290206699392347	1296	0.0332554976777604
TRBV12-4	245.166666666662	0.0276664973950838	1211	0.031074388647969
TRBV7-3	219.83333333333	0.0248076886907652	1106	0.0283800774935208
TRBV6-5	212.83333333333	0.0240177547066772	1094	0.0280721562187267
TRBV15	175.999999999999	0.019861197314214	918	0.0235559775217469
TRBV2	173.999999999998	0.0196355018901888	548	0.0140617382155962
TRBV9	171.499999999999	0.0193533826101575	818	0.020989966898463
TRBV7-6	166.999999999999	0.0188455679061008	903	0.0231710759282543
TRBV27	166.666666666666	0.0188079520020967	707	0.0181416951066177
TRBV6-1	162.666666666665	0.0183565611540463	452	0.0115983680172436
TRBV4-1	151.5	0.0170964283699059	782	0.0200662030740807
TRBV3-1	139.333333333334	0.015723447873753	707	0.0181416951066177
TRBV7-8	135.333333333334	0.0152720570257027	675	0.0173205717071669
TRBV5-6	121.500000000001	0.0137109970095287	620	0.0159092658643607
TRBV28	119.833333333334	0.0135229174895077	616	0.0158066254394293
TRBV11-2	115.666666666668	0.0130527186894553	546	0.0140104180031305
TRBV5-5	93.1666666666671	0.0105136451691721	485	0.0124451515229273
TRBV4-2	90.666666666667	0.0102315258891407	464	0.0119062892920377
TRBV18	81.6666666666668	0.00921589648102742	424	0.0108798850427241
TRBV6-6	76.1666666666666	0.00859523406495821	385	0.00987914089964332
TRBV11-3	65.4999999999997	0.00739152513682399	355	0.00910933771265813
TRBV4-3	64.4999999999997	0.00727867742481141	344	0.00882707654409689
TRBV6-2	62.333333333333	0.00703417404878415	336	0.00862179569423417
TRBV12-2	50.3333333333332	0.00568000150463321	292	0.00749275101998922
TRBV7-7	49.6666666666666	0.00560476969662482	266	0.00682558825793539
TRBV30	38.5000000000001	0.00434463691248436	214	0.00549126273382772
TRBV10-2	38.1666666666667	0.00430702100848017	207	0.00531164199019784
TRBV10-1	37.1666666666668	0.00419417329646759	215	0.00551692284006056
TRBV14	23.8333333333334	0.00268953713629985	116	0.00297657232300942
TRBV25-1	22.1666666666668	0.00250145761627888	115	0.00295091221677658
TRBV6-4	22.0000000000001	0.00248264966427678	122	0.00313053296040646
TRBV19	22.0000000000001	0.00248264966427678	118	0.0030278925354751
TRBV21-1	20.0000000000001	0.00225695424025162	110	0.00282261168561238
TRBV11-1	14.3333333333334	0.00161748387218033	71	0.00182186754253163
TRBV5-4	13.5	0.00152344411216984	76	0.00195016807369583
TRBV5-3	11.5	0.00129774868814468	68	0.00174488722383311
TRBV5-8	10.8333333333334	0.00122251688013629	61	0.00156526648020323
TRBV12-5	10.3333333333334	0.00116609302413	57	0.00146262605527187
TRBV13	8.16666666666668	0.000921589648102742	46	0.00118036488671063
TRBV23-1	4.16666666666667	0.00047019880005242	24	0.000615842549588155
TRBV16	4.16666666666667	0.000470198800052419	22	0.000564522337122476
TRBV7-4	3	0.000338543136037742	17	0.000436221805958277
TRBV6-3	2.33333333333334	0.000263311328029355	11	0.000282261168561238
TRBV1	1.83333333333333	0.000206887472023064	9	0.000230940956095558
TRBV7-5	1.66666666666667	0.000188079520020968	9	0.000230940956095558
TRBV6-7	1.33333333333334	0.000150463616016774	8	0.000205280849862718
TRBV5-7	1.16666666666667	0.000131655664014678	7	0.000179620743629879
TRBV3-2	1	0.000112847712012581	6	0.000153960637397039
IGKV7-3	0.833333333333333	9.40397600104837e-05	1	2.56601062328398e-05
TRBV6-8	0.666666666666668	7.52318080083872e-05	4	0.000102640424931359
TRBV6-9	0.500000000000001	5.64238560062904e-05	3	7.69803186985194e-05
IGKV2-28	0.5	5.64238560062903e-05	1	2.56601062328398e-05
TRBV22-1	0.5	5.64238560062903e-05	2	5.13202124656796e-05
TRBV8-2	0.333333333333334	3.76159040041936e-05	2	5.13202124656796e-05
TRBV12-1	0.333333333333334	3.76159040041936e-05	2	5.13202124656796e-05
IGKV1-39	0.333333333333333	3.76159040041935e-05	1	2.56601062328398e-05
IGHV2-5	0.333333333333333	3.76159040041935e-05	1	2.56601062328398e-05
TRBV7-1	0.166666666666667	1.88079520020968e-05	1	2.56601062328398e-05
IGHV3-22	0.166666666666667	1.88079520020968e-05	1	2.56601062328398e-05
IGHV3-38	0.166666666666667	1.88079520020968e-05	1	2.56601062328398e-05
TRAV13-2	0.166666666666667	1.88079520020968e-05	1	2.56601062328398e-05
IGKV1-12	0.166666666666667	1.88079520020968e-05	1	2.56601062328398e-05
IGHV3-41	0.166666666666667	1.88079520020968e-05	1	2.56601062328398e-05
IGKV1-27	0.166666666666667	1.88079520020968e-05	1	2.56601062328398e-05
TRBV5-2	0.166666666666667	1.88079520020968e-05	1	2.56601062328398e-05
#Min clone frequency: 1.88079520020968e-05	Max clone frequency: 0.145724012112258	 clone frequency SD: 0.0285053774379933
#Min gene frequency: 2.56601062328398e-05	Max gene frequency: 0.139744938544046	 gene frequency SD: 0.025587036416378
