gene name	clone count	clone frequency	gene count	gene frequency
TRBV3-1	3541	0.246690817890483	182	0.0263081815553628
TRBV7-2	1203	0.0838093911104918	659	0.0952587453021104
TRBV20-1	1111	0.0774000278667967	778	0.112460248626771
TRBV5-1	857	0.0597046119548558	543	0.0784908933217693
TRBV12-3	638	0.0444475407551902	390	0.0563746747614918
TRBV7-9	583	0.040615856207329	377	0.0544955189361087
TRBV12-4	539	0.03755050856904	285	0.0411968777103209
TRBV6-3	518	0.0360875017416748	11	0.00159005492917028
TRBV29-1	482	0.0335794900376202	244	0.0352703093379589
TRBV7-3	466	0.0324648181691515	217	0.0313674472390864
TRBV15	337	0.0234777762296224	137	0.0198034113905753
TRBV6-5	336	0.0234081092378431	243	0.0351257588898526
TRBV10-3	318	0.0221541033858158	265	0.0383058687481931
TRBV4-1	300	0.0209000975337885	227	0.0328129517201503
TRBV4-3	295	0.020551762574892	235	0.0339693553050014
TRBV27	259	0.0180437508708374	176	0.0254408788667245
TRBV6-2	247	0.0172077469694859	195	0.0281873373807459
TRBV9	243	0.0169290790023687	185	0.026741832899682
TRBV2	218	0.0151874042078863	137	0.0198034113905753
TRBV24-1	210	0.0146300682736519	144	0.02081526452732
TRBV28	208	0.0144907342900934	155	0.0224053194564903
TRBV11-2	204	0.0142120663229762	157	0.0226944203527031
TRBV6-6	136	0.00947471088198412	90	0.013009540329575
TRBV5-6	133	0.00926570990664623	116	0.0167678519803411
TRBV4-2	110	0.00766336909572245	81	0.0117085862966175
TRBV7-6	104	0.00724536714504668	85	0.0122867880890431
TRBV18	96	0.00668803121081232	71	0.0102630818155536
TRBV5-5	91	0.00633969625191584	71	0.0102630818155536
TRBV7-7	78	0.00543402535878501	56	0.00809482509395779
TRBV10-2	65	0.00452835446565417	54	0.00780572419774501
TRBV7-8	58	0.00404068552319911	42	0.00607111882046834
TRBV10-1	54	0.00376201755608193	47	0.00679387106100029
TRBV6-1	53	0.00369235056430263	40	0.00578201792425556
TRBV25-1	42	0.00292601365473039	35	0.00505926568372362
TRBV14	38	0.00264734568761321	33	0.00477016478751084
TRBV6-4	25	0.00174167479448237	23	0.00332466030644695
TRBV11-1	20	0.0013933398355859	16	0.00231280716970223
TRBV21-1	18	0.00125400585202731	16	0.00231280716970223
TRBV30	17	0.00118433886024801	15	0.00216825672159584
TRBV12-5	13	0.000905670893130835	12	0.00173460537727667
TRBV5-4	13	0.000905670893130835	13	0.00187915582538306
TRBV11-3	11	0.000766336909572245	11	0.00159005492917028
TRBV6-8	10	0.00069666991779295	2	0.000289100896212778
TRBV19	8	0.00055733593423436	6	0.000867302688638335
TRBV12-2	8	0.00055733593423436	6	0.000867302688638335
TRBV13	8	0.00055733593423436	7	0.00101185313674472
TRBV16	6	0.00041800195067577	4	0.000578201792425557
TRBV5-8	5	0.000348334958896475	5	0.000722752240531946
TRBV6-7	4	0.00027866796711718	4	0.000578201792425557
TRBV3-2	4	0.00027866796711718	4	0.000578201792425557
TRBV1	2	0.00013933398355859	1	0.000144550448106389
TRBV23-1	2	0.00013933398355859	2	0.000289100896212778
IGKV7-3	2	0.00013933398355859	1	0.000144550448106389
IGHV3-41	1	6.9666991779295e-05	1	0.000144550448106389
TRBV7-4	1	6.9666991779295e-05	1	0.000144550448106389
IGHV3-22	1	6.9666991779295e-05	1	0.000144550448106389
IGHV3-75	1	6.9666991779295e-05	1	0.000144550448106389
IGKV1-39	1	6.9666991779295e-05	1	0.000144550448106389
IGKV2-28	1	6.9666991779295e-05	1	0.000144550448106389
TRBV7-5	1	6.9666991779295e-05	1	0.000144550448106389
#Min clone frequency: 6.9666991779295e-05	Max clone frequency: 0.246690817890483	 clone frequency SD: 0.0354142409650173
#Min gene frequency: 0.000144550448106389	Max gene frequency: 0.112460248626771	 gene frequency SD: 0.0235015051677933
