gene name	clone count	clone frequency	gene count	gene frequency
TRBV5-1	2014	0.174841566108169	984	0.122327200397812
TRBV7-3	1854	0.160951471481899	416	0.051715564395823
TRBV20-1	1554	0.134907544057644	1382	0.171805072103431
TRBV6-5	713	0.0618977341783141	582	0.0723520636499254
TRBV7-2	652	0.0566021356020488	508	0.0631526603679761
TRBV29-1	623	0.0540845559510374	567	0.0704873197414222
TRBV7-9	512	0.0444483028040629	459	0.0570611636001989
TRBV12-3	466	0.0404549005990103	415	0.0515912481352561
TRBV10-3	409	0.0355065543884018	367	0.0456240676280458
TRBV4-1	336	0.0291691987151662	221	0.027473893585281
TRBV12-4	291	0.0252626096015279	268	0.0333167578319244
TRBV4-2	238	0.0206615157565761	215	0.0267279960218797
TRBV9	195	0.0169285528257661	179	0.0222526106414719
TRBV27	166	0.0144109731747548	155	0.0192690203878667
TRBV6-6	144	0.0125010851636427	124	0.0154152163102934
TRBV6-1	136	0.0118065804323292	120	0.0149179512680259
TRBV7-6	133	0.0115461411580866	108	0.0134261561412233
TRBV15	131	0.0113725149752583	121	0.0150422675285927
TRBV5-6	122	0.0105911971525306	105	0.0130532073595226
TRBV24-1	115	0.00998350551263131	107	0.0133018398806564
TRBV5-5	93	0.00807361750151923	87	0.0108155146693187
TRBV6-2	71	0.00616372949040715	66	0.00820487319741422
TRBV28	67	0.00581647712475041	52	0.00646444554947787
TRBV7-8	59	0.00512197239343693	52	0.00646444554947787
TRBV3-1	54	0.004687906936366	51	0.00634012928891099
TRBV6-4	44	0.00381977602222415	37	0.00459970164097464
TRBV7-7	41	0.0035593367479816	38	0.00472401790154152
TRBV11-2	41	0.0035593367479816	37	0.00459970164097464
TRBV18	36	0.00312527129091067	34	0.00422675285927399
TRBV10-2	29	0.00251757965101137	24	0.00298359025360517
TRBV10-1	26	0.00225714037676882	23	0.00285927399303829
TRBV12-5	21	0.00182307491969789	18	0.00223769269020388
TRBV2	21	0.00182307491969789	21	0.00261064147190452
TRBV25-1	20	0.00173626182828371	18	0.00223769269020388
TRBV13	13	0.00112857018838441	11	0.0013674788662357
TRBV11-3	11	0.000954944005556038	10	0.00124316260566882
TRBV5-4	10	0.000868130914141853	9	0.00111884634510194
TRBV5-8	9	0.000781317822727667	8	0.000994530084535057
TRBV11-1	8	0.000694504731313482	8	0.000994530084535057
TRBV30	6	0.000520878548485112	6	0.000745897563401293
TRBV14	6	0.000520878548485112	4	0.000497265042267529
TRBV19	5	0.000434065457070926	4	0.000497265042267529
TRBV21-1	5	0.000434065457070926	5	0.000621581302834411
TRBV16	3	0.000260439274242556	3	0.000372948781700646
TRBV6-8	3	0.000260439274242556	3	0.000372948781700646
TRBV6-3	3	0.000260439274242556	3	0.000372948781700646
TRBV12-2	2	0.000173626182828371	2	0.000248632521133764
TRBV23-1	2	0.000173626182828371	1	0.000124316260566882
TRBV5-7	1	8.68130914141853e-05	1	0.000124316260566882
TRBV7-5	1	8.68130914141853e-05	1	0.000124316260566882
TRBV6-7	1	8.68130914141853e-05	1	0.000124316260566882
TRBV22-1	1	8.68130914141853e-05	1	0.000124316260566882
TRBV7-4	1	8.68130914141853e-05	1	0.000124316260566882
TRBV4-3	1	8.68130914141853e-05	1	0.000124316260566882
#Min clone frequency: 8.68130914141853e-05	Max clone frequency: 0.174841566108169	 clone frequency SD: 0.0374748561599639
#Min gene frequency: 0.000124316260566882	Max gene frequency: 0.171805072103431	 gene frequency SD: 0.0324823593082569
