gene name	clone count	clone frequency	gene count	gene frequency
TRBV20-1	3208.49999999886	0.205805003207371	9759	0.20228422187215
TRBV5-1	1220.16666666668	0.0782659824674938	4337	0.0898971892877871
TRBV29-1	1032.49999999992	0.0662283515074555	3360	0.0696459663377829
TRBV7-2	899.833333333237	0.0577186230490299	3169	0.0656869247989387
TRBV6-5	858.166666666582	0.0550459696387215	3060	0.0634275764861952
TRBV7-9	758.833333333277	0.0486743639085463	2561	0.0530843213663875
TRBV12-3	700.49999999997	0.0449326491341153	2674	0.0554265815438189
TRBV7-3	655.999999999971	0.0420782552919051	1670	0.0346157035071719
TRBV10-3	608.83333333332	0.0390528116314362	1893	0.0392380399635188
TRBV4-1	548.166666666668	0.0351614282660271	1297	0.0268841721250311
TRBV12-4	504.500000000023	0.0323604874920245	1628	0.0337451289279496
TRBV11-3	464.000000000003	0.0297626683772027	341	0.00706823646463809
TRBV4-2	344.50000000001	0.0220974983964366	1097	0.0227385788906393
TRBV9	292.333333333333	0.0187513363267289	1062	0.0220131000746207
TRBV6-6	281.166666666667	0.0180350652127661	821	0.0170176602271785
TRBV7-6	260.999999999998	0.0167415009621763	637	0.013203714451538
TRBV15	223.999999999996	0.0143681847338216	653	0.0135353619102894
TRBV24-1	199.999999999996	0.0128287363694836	669	0.0138670093690407
TRBV27	199.83333333333	0.0128180457558424	805	0.0166860127684272
TRBV3-1	195.833333333332	0.0125614710284528	388	0.00804245087472017
TRBV6-1	185.33333333333	0.0118879623690548	605	0.0125404195340353
TRBV11-2	168.999999999997	0.0108402822322137	466	0.00965923223613299
TRBV5-6	160.333333333332	0.0102843703228695	528	0.0109443661387945
TRBV5-5	151.499999999999	0.00971776779988397	465	0.00963850426996103
TRBV28	139.166666666666	0.0089266623904325	393	0.00814609070557997
TRBV4-3	139.166666666666	0.00892666239043246	305	0.00632202968244756
TRBV7-8	122.333333333335	0.0078469104126677	398	0.00824973053643976
TRBV18	117.833333333334	0.00755826384435429	306	0.00634275764861952
TRBV6-2	112.500000000002	0.00721616420783476	404	0.00837409833347152
TRBV10-1	88.5000000000006	0.00567671584349664	302	0.00625984578393168
TRBV2	80.1666666666671	0.0051421851614348	220	0.00456015255783103
TRBV7-7	76.8333333333336	0.00492837288861006	256	0.00530635934002156
TRBV30	67.1666666666666	0.00430831729741832	189	0.00391758560650029
TRBV12-2	60.3333333333331	0.00387000213812762	162	0.00335793051985739
TRBV10-2	55.833333333333	0.00358135556981422	245	0.00507835171213001
TRBV6-4	55.1666666666664	0.00353859311524928	163	0.00337865848602935
TRBV12-5	36.6666666666666	0.00235193500107204	98	0.002031340684852
TRBV25-1	35.5	0.00227710070558338	111	0.00230080424508747
TRBV11-1	31.6666666666667	0.00203121659183495	63	0.00130586186883343
TRBV21-1	25.3333333333334	0.00162497327346796	87	0.00180333305696045
TRBV13	25.3333333333334	0.00162497327346796	70	0.00145095763203714
TRBV5-8	23.5	0.00150737652341435	72	0.00149241356438106
TRBV5-4	21.5000000000001	0.00137908915971952	84	0.00174114915844457
TRBV7-4	20.1666666666667	0.00129356425058962	16	0.000331647458751347
TRBV5-3	19.5	0.00125080179602468	30	0.000621838985158776
TRBV14	18.1666666666667	0.00116527688689479	51	0.00105712627476992
TRBV19	13.6666666666667	0.000876630318581399	56	0.00116076610562972
TRBV23-1	11.6666666666667	0.000748342954886559	17	0.000352375424923307
TRBV6-3	9.83333333333335	0.000630746204832957	49	0.001015670342426
TRBV16	7.16666666666667	0.000459696386573171	21	0.000435287289611143
TRAV29DV5	5.66666666666667	0.000363480863802043	1	2.07279661719592e-05
TRAV38-2DV8	4	0.000256574727389677	9	0.000186551695547633
TRBV7-5	3.83333333333334	0.000245884113748441	9	0.000186551695547633
TRBV6-7	3.5	0.000224502886465968	15	0.000310919492579388
TRBV6-8	3.33333333333334	0.000213812272824731	10	0.000207279661719592
TRAV9-2	2.83333333333333	0.000181740431901021	4	8.29118646878368e-05
TRAV26-2	2.66666666666667	0.000171049818259785	4	8.29118646878368e-05
TRAV1-2	2.33333333333334	0.000149668590977312	7	0.000145095763203714
TRBV1	2.16666666666667	0.000138977977336075	10	0.000207279661719592
TRBV5-7	1.83333333333333	0.000117596750053602	9	0.000186551695547633
TRBV12-1	1.83333333333333	0.000117596750053602	5	0.000103639830859796
TRAV1-1	1.66666666666667	0.000106906136412365	2	4.14559323439184e-05
TRAV13-1	1.5	9.62155227711289e-05	5	0.000103639830859796
TRAV21	1.33333333333333	8.55249091298924e-05	6	0.000124367797031755
TRAV13-2	1.16666666666667	7.4834295488656e-05	1	2.07279661719592e-05
TRAV25	1.16666666666667	7.4834295488656e-05	1	2.07279661719592e-05
TRBV17	1	6.41436818474193e-05	2	4.14559323439184e-05
TRBV22-1	1	6.41436818474193e-05	1	2.07279661719592e-05
IGHV3-9	1	6.41436818474193e-05	1	2.07279661719592e-05
TRAV22	1	6.41436818474193e-05	1	2.07279661719592e-05
TRBV6-9	0.833333333333334	5.34530682061828e-05	3	6.21838985158776e-05
TRAV12-3	0.833333333333333	5.34530682061827e-05	1	2.07279661719592e-05
TRAV4	0.666666666666668	4.27624545649463e-05	4	8.29118646878368e-05
TRAV5	0.333333333333334	2.13812272824731e-05	2	4.14559323439184e-05
TRAV38-1	0.333333333333334	2.13812272824731e-05	2	4.14559323439184e-05
TRAV2	0.333333333333334	2.13812272824731e-05	2	4.14559323439184e-05
TRAV24	0.333333333333334	2.13812272824731e-05	2	4.14559323439184e-05
TRAV19	0.166666666666667	1.06906136412366e-05	1	2.07279661719592e-05
TRAV8-3	0.166666666666667	1.06906136412366e-05	1	2.07279661719592e-05
TRAV20	0.166666666666667	1.06906136412366e-05	1	2.07279661719592e-05
TRAV6	0.166666666666667	1.06906136412366e-05	1	2.07279661719592e-05
TRAV17	0.166666666666667	1.06906136412366e-05	1	2.07279661719592e-05
TRAV23DV6	0.166666666666667	1.06906136412366e-05	1	2.07279661719592e-05
TRAV12-1	0.166666666666667	1.06906136412366e-05	1	2.07279661719592e-05
TRAV8-6	0.166666666666667	1.06906136412366e-05	1	2.07279661719592e-05
TRBV7-1	0.166666666666667	1.06906136412366e-05	1	2.07279661719592e-05
TRAV16	0.166666666666667	1.06906136412366e-05	1	2.07279661719592e-05
TRBV3-2	0.166666666666667	1.06906136412366e-05	1	2.07279661719592e-05
TRAV10	0.166666666666667	1.06906136412366e-05	1	2.07279661719592e-05
#Min clone frequency: 1.06906136412366e-05	Max clone frequency: 0.205805003207371	 clone frequency SD: 0.0265319618966987
#Min gene frequency: 2.07279661719592e-05	Max gene frequency: 0.20228422187215	 gene frequency SD: 0.027094692779153
