gene name	clone count	clone frequency	gene count	gene frequency
TRBV20-1	1190	0.166363763455893	500	0.0939319932368965
TRBV5-1	1144	0.15993289528869	727	0.136577118166447
TRBV7-9	605	0.0845798965469034	504	0.0946834491827917
TRBV12-3	518	0.0724171676219768	471	0.0884839376291565
TRBV7-2	373	0.0521459527470991	341	0.0640616193875634
TRBV12-4	278	0.0388648119670068	238	0.0447116287807627
TRBV6-5	239	0.0334125541730742	198	0.037197069321811
TRBV10-3	228	0.0318747378722214	163	0.0306218297952283
TRBV7-3	212	0.0296379141618901	181	0.0340033815517565
TRBV29-1	172	0.0240458548860618	117	0.0219800864174338
TRBV6-1	160	0.0223682371033133	101	0.0189742626338531
TRBV4-1	144	0.020131413392982	136	0.0255495021604358
TRBV2	143	0.0199916119110863	116	0.02179222243096
TRBV3-1	142	0.0198518104291905	127	0.0238587262821717
TRBV5-6	142	0.0198518104291905	95	0.0178470787150103
TRBV27	136	0.0190130015378163	119	0.0223558143903814
TRBV6-6	122	0.0170557807912764	106	0.0199135825662221
TRBV7-8	118	0.0164965748636936	103	0.0193499906068007
TRBV9	115	0.0160771704180064	110	0.0206650385121172
TRBV5-5	110	0.0153781630085279	101	0.0189742626338531
TRBV15	97	0.0135607437438837	87	0.01634416682322
TRBV24-1	89	0.012442331888718	79	0.0148412549314296
TRBV11-2	87	0.0121627289249266	73	0.0137140710125869
TRBV18	85	0.0118831259611352	68	0.0127747510802179
TRBV28	64	0.00894729484132532	63	0.011835431147849
TRBV7-6	62	0.0086676918775339	58	0.01089611121548
TRBV30	57	0.00796868446805536	45	0.00845387939132068
TRBV4-2	51	0.00712987557668111	51	0.00958106331016344
TRBV6-2	46	0.00643086816720257	45	0.00845387939132068
TRBV10-2	45	0.00629106668530686	31	0.00582378358068758
TRBV10-1	23	0.00321543408360129	20	0.00375727972947586
TRBV7-7	23	0.00321543408360129	23	0.00432087168889724
TRBV13	18	0.00251642667412275	18	0.00338155175652827
TRBV21-1	15	0.00209702222843562	15	0.00281795979710689
TRBV14	12	0.0016776177827485	12	0.00225436783768552
TRBV25-1	12	0.0016776177827485	12	0.00225436783768552
TRBV5-4	11	0.00153781630085279	10	0.00187863986473793
TRBV11-1	9	0.00125821333706137	9	0.00169077587826414
TRBV12-5	9	0.00125821333706137	7	0.00131504790531655
TRBV5-8	8	0.00111841185516566	8	0.00150291189179034
TRBV19	8	0.00111841185516566	7	0.00131504790531655
TRBV23-1	5	0.00069900740947854	3	0.000563591959421379
TRBV6-4	5	0.00069900740947854	5	0.000939319932368965
TRBV16	4	0.000559205927582832	4	0.000751455945895172
TRBV11-3	3	0.000419404445687124	3	0.000563591959421379
IGKV1-39	3	0.000419404445687124	2	0.000375727972947586
TRBV6-9	2	0.000279602963791416	2	0.000375727972947586
TRBV7-4	2	0.000279602963791416	2	0.000375727972947586
IGHV3-75	1	0.000139801481895708	1	0.000187863986473793
IGHV1-69	1	0.000139801481895708	1	0.000187863986473793
TRBV5-3	1	0.000139801481895708	1	0.000187863986473793
IGKV2-28	1	0.000139801481895708	1	0.000187863986473793
IGKV7-3	1	0.000139801481895708	1	0.000187863986473793
IGHV3-22	1	0.000139801481895708	1	0.000187863986473793
IGHV3-41	1	0.000139801481895708	1	0.000187863986473793
#Min clone frequency: 0.000139801481895708	Max clone frequency: 0.166363763455893	 clone frequency SD: 0.03328567755579
#Min gene frequency: 0.000187863986473793	Max gene frequency: 0.136577118166447	 gene frequency SD: 0.0278984097117118
