gene name	clone count	clone frequency	gene count	gene frequency
TRBV20-1	2106.50000000016	0.253973676278317	3665	0.121213123429025
TRBV5-1	1352.16666666676	0.163026223249146	4150	0.137253604974203
TRBV12-3	417.833333333345	0.0503767708228269	2059	0.0680976319618997
TRBV7-2	399.500000000009	0.0481663819953392	1883	0.0622767561846805
TRBV7-9	358.833333333339	0.0432633376870942	1847	0.0610861225029766
TRBV4-3	295.833333333338	0.035667637898092	280	0.00926048419103056
TRBV10-3	234.999999999995	0.0283331658796101	1237	0.04091149622966
TRBV29-1	229.166666666663	0.0276298603435915	1185	0.0391916920227543
TRBV7-3	222.499999999996	0.0268260825881415	852	0.028178330466993
TRBV6-5	207.666666666664	0.0250376770822656	970	0.0320809630903559
TRBV4-1	192.666666666665	0.0232291771325033	789	0.0260947215240111
TRBV12-4	156	0.0188083994775288	825	0.027285355205715
TRBV2	137.166666666668	0.0165377273183828	459	0.0151805794417251
TRBV28	130.166666666668	0.0156937606751604	694	0.0229527715306257
TRBV6-1	129.666666666668	0.0156334773435017	427	0.0141222383913216
TRBV24-1	117.166666666668	0.014126394052033	610	0.0201746262733166
TRBV15	109.833333333334	0.013242238521038	557	0.0184217489085858
TRBV11-2	108.666666666668	0.0131015774138343	562	0.0185871146977113
TRBV7-6	106.666666666668	0.0128604440871993	592	0.0195793094324646
TRBV27	105.166666666667	0.012679594092223	568	0.018785553644662
TRBV3-1	103.666666666667	0.0124987440972468	536	0.0177272125942585
TRBV5-6	90.166666666667	0.0108710941424606	429	0.0141883847069718
TRBV18	89.666666666667	0.0108108108108018	470	0.0155443841778013
TRBV7-8	86.8333333333336	0.0104692052647356	454	0.0150152136525996
TRBV9	86.0000000000003	0.0103687330453044	492	0.0162719936499537
TRBV6-6	85.3333333333335	0.0102883552697594	361	0.0119394099748644
TRBV5-5	81.1666666666667	0.00978599417260313	375	0.0124024341844159
TRBV11-3	60.9999999999996	0.00735456646236698	261	0.00863209419235349
TRBV6-2	57.6666666666665	0.00695267758464203	321	0.01061648366186
TRBV4-2	54.3333333333332	0.00655078870691706	311	0.0102857520836089
TRBV12-2	53.9999999999998	0.00651059981914456	278	0.00919433787538034
TRBV30	41.8333333333334	0.00504370541544843	226	0.00747453366847467
TRBV10-1	41.1666666666667	0.00496332763990344	232	0.00767297261542532
TRBV10-2	40.8333333333333	0.00492313875213093	199	0.00658155840719672
TRBV7-7	36.3333333333334	0.00438058876720223	186	0.0061516073554703
TRBV6-4	20.1666666666668	0.00243142771023611	114	0.00377033999206244
TRBV14	17.1666666666667	0.00206972772028363	87	0.0028773647307845
TRBV25-1	16.8333333333334	0.00202953883251113	92	0.00304273051991004
TRBV21-1	15.0000000000001	0.00180849994976239	85	0.00281121841513428
TRBV5-3	15.0000000000001	0.00180849994976239	86	0.00284429157295939
TRBV5-4	12.5	0.00150708329146866	70	0.00231512104775764
TRBV19	12	0.00144679995980991	66	0.0021828284164572
TRBV11-1	10.1666666666667	0.00122576107706117	53	0.00175287736473078
TRBV13	8.16666666666668	0.000984627750426189	47	0.00155443841778013
TRBV12-5	6.66666666666667	0.000803777755449949	36	0.00119063368170393
TRBV5-8	6.50000000000001	0.000783683311563701	33	0.0010914142082286
TRBV23-1	3.83333333333334	0.000462172209383721	19	0.000628389998677074
TRBV6-3	3.33333333333334	0.000401888877724975	16	0.000529170525201746
TRBV16	3	0.000361699989952477	16	0.000529170525201746
TRBV5-7	3	0.000361699989952477	5	0.000165365789125546
TRBV7-5	2.66666666666667	0.00032151110217998	15	0.000496097367376637
TRBV7-4	2.33333333333334	0.000281322214407483	14	0.000463024209551528
TRBV6-7	1.83333333333333	0.000221038882748736	9	0.000297658420425982
TRBV6-9	1.66666666666667	0.000200944438862487	9	0.000297658420425982
TRBV1	0.833333333333335	0.000100472219431244	5	0.000165365789125546
TRBV6-8	0.500000000000001	6.02833316587463e-05	3	9.92194734753274e-05
IGKV7-3	0.5	6.02833316587461e-05	2	6.61463156502183e-05
IGKV1-39	0.5	6.02833316587461e-05	2	6.61463156502183e-05
TRBV8-2	0.333333333333334	4.01888877724975e-05	2	6.61463156502183e-05
TRBV22-1	0.333333333333333	4.01888877724974e-05	1	3.30731578251091e-05
IGHV3-41	0.166666666666667	2.00944438862487e-05	1	3.30731578251091e-05
IGHV3-75	0.166666666666667	2.00944438862487e-05	1	3.30731578251091e-05
TRBV3-2	0.166666666666667	2.00944438862487e-05	1	3.30731578251091e-05
IGKV2-28	0.166666666666667	2.00944438862487e-05	1	3.30731578251091e-05
IGHV3-22	0.166666666666667	2.00944438862487e-05	1	3.30731578251091e-05
IGHV1-69	0.166666666666667	2.00944438862487e-05	1	3.30731578251091e-05
TRAV38-2DV8	0.166666666666667	2.00944438862487e-05	1	3.30731578251091e-05
#Min clone frequency: 2.00944438862487e-05	Max clone frequency: 0.253973676278317	 clone frequency SD: 0.0370749890906927
#Min gene frequency: 3.30731578251091e-05	Max gene frequency: 0.137253604974203	 gene frequency SD: 0.0253361778734583
