gene name	clone count	clone frequency	gene count	gene frequency
TRBV20-1	1136.16666666676	0.114878414586915	10909	0.122239279271203
TRBV5-1	1084.91666666683	0.109696499890505	9752	0.109274677005479
TRBV7-2	1043.00000000014	0.105458283480263	5792	0.0649014488531313
TRBV12-3	673.333333333357	0.0680810906456087	6820	0.0764205595957106
TRBV7-9	550.916666666638	0.0557034765170891	5412	0.060643411808209
TRBV3-1	487.749999999969	0.0493166613302857	2166	0.0242708111560571
TRBV10-3	349.99999999999	0.0353886857316261	3592	0.0402496554351602
TRBV29-1	344.91666666666	0.0348747072007622	3334	0.0373586723888708
TRBV12-4	307.000000000001	0.0310409329131701	2972	0.0333023318355501
TRBV7-3	295.083333333337	0.029836032422784	2868	0.0321369743285188
TRBV6-5	281.833333333338	0.0284963178915154	2856	0.0320025100007844
TRBV24-1	255.750000000012	0.0258590182167544	2478	0.0277668836771512
TRBV4-1	224.000000000008	0.0226487588682421	2351	0.0263438028752955
TRBV15	218.500000000006	0.0220926509496021	2133	0.0239010342547875
TRBV9	211.833333333339	0.0214185807451901	2141	0.0239906771399437
TRBV27	198.583333333337	0.0200788662139212	1835	0.0205618367827169
TRBV2	178.750000000003	0.0180735073557955	1452	0.016270183655861
TRBV7-6	176.166666666669	0.0178123051515858	1778	0.0199231312259785
TRBV28	162.750000000001	0.0164557388652067	1632	0.0182871485718768
TRBV7-8	161.833333333334	0.0163630542121	1669	0.0187017469157245
TRBV5-6	135.833333333332	0.0137341804148932	1413	0.0158331745907242
TRBV11-2	132.499999999998	0.0133971453126871	1312	0.0147014331656264
TRBV6-1	127.999999999996	0.0129421479247089	935	0.0104770122026377
TRBV4-2	118.416666666664	0.0119731720058669	1234	0.0138274150353529
TRBV5-5	117.999999999998	0.0119310426180912	1240	0.0138946471992201
TRBV4-3	110.833333333332	0.0112064171483484	1143	0.0128077272167005
TRBV6-2	108.166666666665	0.0109367890665836	1131	0.0126732628889661
TRBV6-6	104.583333333332	0.0105744763317122	1061	0.0118888876438488
TRBV18	81.0833333333331	0.00819837886116024	845	0.00946852974462983
TRBV7-7	53.0000000000004	0.00535885812507499	561	0.00628620732158265
TRBV10-2	48.2500000000003	0.00487858310443147	502	0.00562509104355524
TRBV11-3	45.7500000000002	0.00462580677777698	500	0.00560268032226617
TRBV6-3	45.1666666666667	0.00456682563489092	31	0.000347366179980503
TRBV10-1	38.25	0.00386747779781353	422	0.00472866219199265
TRBV30	30.9166666666665	0.00312600057296037	345	0.00386584942236366
TRBV25-1	30.7499999999998	0.00310914881785007	330	0.00369776901269567
TRBV12-2	29.2499999999999	0.00295748302185739	337	0.0037762065372074
TRBV14	25.9999999999999	0.00262887379720657	267	0.00299183129209014
TRBV21-1	24.8333333333333	0.00251091151143448	266	0.0029806259314456
TRBV6-4	20.3333333333333	0.00205591412345643	222	0.00248759006308618
TRBV11-1	16.8333333333334	0.00170202726614016	174	0.00194973275214863
TRBV5-4	15.3333333333334	0.00155036147014747	161	0.00180406306376971
TRBV19	14.9166666666667	0.00150823208237173	160	0.00179285770312518
TRBV5-8	13.8333333333334	0.00139869567415479	151	0.00169200945732438
TRBV13	11.3333333333333	0.00114591934750031	118	0.00132223255605482
TRBV12-5	9.33333333333333	0.000943698286176721	102	0.0011429467857423
TRBV16	7.41666666666666	0.000749903102408286	65	0.000728348441894602
TRBV5-3	6.49999999999999	0.000657218449301644	75	0.000840402048339926
TRBV7-4	3.25	0.000328609224650822	37	0.000414598343847697
TRBV23-1	2.58333333333333	0.000261202204209628	29	0.000324955458691438
TRBV3-2	2.5	0.000252776326654479	27	0.000302544737402373
TRBV6-7	1.75	0.000176943428658135	20	0.000224107212890647
TRBV1	1.5	0.000151665795992687	13	0.00014566968837892
TRBV6-8	1.5	0.000151665795992687	10	0.000112053606445323
TRBV5-7	1.16666666666667	0.00011796228577209	13	0.00014566968837892
TRBV7-5	1.08333333333333	0.000109536408216941	12	0.000134464327734388
IGKV7-3	1	0.000101110530661792	2	2.24107212890647e-05
TRBV22-1	1	0.000101110530661791	2	2.24107212890647e-05
TRBV6-9	0.833333333333333	8.42587755514929e-05	9	0.000100848245800791
IGKV1-39	0.583333333333333	5.8981142886045e-05	4	4.48214425781294e-05
IGKV2-28	0.5	5.05552653308957e-05	1	1.12053606445323e-05
IGHV3-22	0.416666666666667	4.21293877757465e-05	1	1.12053606445323e-05
IGKV1-12	0.25	2.52776326654479e-05	1	1.12053606445323e-05
