gene name	clone count	clone frequency	gene count	gene frequency
TRBV20-1	1173.49999999997	0.107474852319408	5780	0.11474400968773
TRBV5-1	923.333333333265	0.0845633691023277	4340	0.0861572667897485
TRBV3-1	836.166666666624	0.0765802207195645	1459	0.0289639290889961
TRBV7-2	794.666666666628	0.0727794483537741	3488	0.069243443908443
TRBV12-3	771.666666666634	0.07067299619924	3890	0.0772239096341294
TRBV7-9	737.499999999978	0.0675438462595336	3515	0.0697794453377802
TRBV10-3	419.833333333345	0.0384503838932825	2107	0.0418279633930876
TRBV29-1	373.333333333339	0.0341916871460705	1674	0.033232088618903
TRBV7-3	370.333333333339	0.0339169325172182	1767	0.0350783157643976
TRBV12-4	368.833333333339	0.033779555202792	1766	0.0350584638596073
TRBV6-5	350.833333333338	0.0321310274296778	1764	0.0350187600500268
TRBV4-1	296.499999999999	0.0271549158182404	1569	0.0311476386159252
TRBV15	260.999999999995	0.0239036527101538	1215	0.0241200643201715
TRBV24-1	254.333333333327	0.0232930868682597	1183	0.0234848033668831
TRBV9	252.166666666661	0.0230946529696441	1323	0.0262640700375201
TRBV27	230.499999999996	0.0211103139834884	1129	0.0224128005082088
TRBV28	205.666666666664	0.018835956222433	1016	0.0201695352669089
TRBV7-8	188.333333333331	0.0172484850335084	995	0.0197526452663133
TRBV7-6	185.333333333332	0.0169737304046561	877	0.0174101205010621
TRBV2	183.499999999999	0.0168058247981352	904	0.0179461219303992
TRBV4-3	157.166666666666	0.0143940897226536	799	0.0158616719274214
TRBV6-2	154	0.0141040709477539	795	0.0157822643082604
TRBV5-6	150.166666666667	0.0137529955886648	796	0.0158021162130506
TRBV11-2	149.333333333334	0.013676674858428	766	0.0152065590693427
TRBV4-2	146.166666666667	0.0133866560835283	770	0.0152859666885038
TRBV5-5	142.833333333334	0.0130813731625813	756	0.0150080400214401
TRBV6-6	133.000000000001	0.0121807885457875	676	0.0134198876382189
TRBV6-1	93.3333333333337	0.00854792178651754	483	0.00958847001369781
TRBV6-3	88.0000000000001	0.00805946911300223	20	0.000397038095805293
TRBV18	80.5000000000001	0.00737258254087136	423	0.00839735572628194
TRBV10-2	58.333333333333	0.00534245111657342	295	0.00585631191312806
TRBV7-7	56.3333333333331	0.00515928136400519	295	0.00585631191312806
TRBV25-1	39.3333333333334	0.00360233846717524	215	0.00426815952990689
TRBV10-1	39.3333333333334	0.00360233846717524	207	0.00410934429158478
TRBV21-1	29.6666666666668	0.00271701799642879	156	0.00309689714728128
TRBV14	28.1666666666668	0.00257964068200262	151	0.00299763762332996
TRBV11-3	26.0000000000001	0.00238120678338703	145	0.00287852619458837
TRBV30	23.3333333333334	0.00213698044662939	131	0.00260059952752467
TRBV11-1	19.3333333333334	0.00177064094149292	103	0.00204474619339726
TRBV6-4	18.6666666666667	0.00170958435730351	100	0.00198519047902646
TRBV5-4	17.1666666666667	0.00157220704287733	85	0.00168741190717249
TRBV5-8	16.8333333333334	0.00154167875078263	90	0.00178667143112382
TRBV13	14.5	0.00132798070611969	72	0.00142933714489905
TRBV16	10.6666666666667	0.000976905347030574	43	0.000853631905981379
TRBV12-5	8.33333333333335	0.000763207302367636	45	0.000893335715561908
TRBV12-2	8.16666666666668	0.000747943156320283	45	0.000893335715561908
TRBV19	7.83333333333334	0.000717414864225577	42	0.000833780001191114
TRBV3-2	4.00000000000001	0.000366339505136465	21	0.000416890000595557
TRBV7-4	3.50000000000001	0.000320547066994407	20	0.000397038095805293
TRBV6-8	2.33333333333333	0.000213698044662938	6	0.000119111428741588
TRBV6-7	2.16666666666667	0.000198433898615585	12	0.000238222857483176
TRBV5-3	1.5	0.000137377314426174	7	0.000138963333531852
TRBV22-1	1.5	0.000137377314426174	1	1.98519047902646e-05
TRBV6-9	1.16666666666667	0.000106849022331469	6	0.000119111428741588
TRBV5-7	1.16666666666667	0.000106849022331469	6	0.000119111428741588
IGKV7-3	1.16666666666667	0.000106849022331469	2	3.97038095805293e-05
TRBV1	1.16666666666667	0.000106849022331469	4	7.94076191610585e-05
TRBV23-1	1	9.15848762841162e-05	5	9.92595239513231e-05
IGKV1-39	0.833333333333334	7.63207302367635e-05	4	7.94076191610585e-05
IGHV3-22	0.666666666666667	6.10565841894108e-05	1	1.98519047902646e-05
TRBV7-5	0.500000000000001	4.57924381420582e-05	3	5.95557143707939e-05
IGKV2-28	0.5	4.57924381420581e-05	1	1.98519047902646e-05
IGHV3-41	0.333333333333333	3.05282920947054e-05	1	1.98519047902646e-05
IGKV1-12	0.333333333333333	3.05282920947054e-05	1	1.98519047902646e-05
IGHV1-24	0.166666666666667	1.52641460473527e-05	1	1.98519047902646e-05
IGHV3-49	0.166666666666667	1.52641460473527e-05	1	1.98519047902646e-05
IGHV3-71	0.166666666666667	1.52641460473527e-05	1	1.98519047902646e-05
IGKV1-33	0.166666666666667	1.52641460473527e-05	1	1.98519047902646e-05
IGHV2-5	0.166666666666667	1.52641460473527e-05	1	1.98519047902646e-05
TRBV12-1	0.166666666666667	1.52641460473527e-05	1	1.98519047902646e-05
IGHV3-75	0.166666666666667	1.52641460473527e-05	1	1.98519047902646e-05
#Min clone frequency: 1.52641460473527e-05	Max clone frequency: 0.107474852319408	 clone frequency SD: 0.0229765488699925
#Min gene frequency: 1.98519047902646e-05	Max gene frequency: 0.11474400968773	 gene frequency SD: 0.0227310053228393
